FISNumber,TrackingNumber_IC,TrackingNumber_week1,Ethica_1,App_install_week1
F514367370196,2797129,2800288,64675,05/12/2022
F514365389017,2796378,2800351,64676,05/12/2022
F514368934663,2798340,2800332,64678,05/12/2022
F514368067111,2798062,2800322,64684,05/12/2022
F514365191263,2799347,2800362,64691,05/12/2022
F514358013334,2768968,2799741,64693,05/12/2022
F514367569562,2797531,2800306,64695,05/12/2022
F514369266058,2798592,2800404,64699,05/12/2022
F514367030302,2799140,2800293,64708,05/12/2022
F514367513469,2797517,2800305,64712,05/12/2022
F514357340298,2766199,2799632,64720,05/12/2022
F514367993054,2797252,2800300,64723,05/12/2022
F514367297231,2797086,2800283,64728,05/12/2022
F514365137074,2796483,2800363,64751,06/12/2022
F514351842406,2798911,2800234,64752,06/12/2022
F514354730689,2798877,2800203,64754,06/12/2022
F514369476042,2798691,2800417,64755,06/12/2022
F514353345337,2798950,2800240,64759,06/12/2022
F514366217339,2796727,2800380,64761,06/12/2022
F514367515226,2797511,2800303,64762,06/12/2022
F514357433164,2792552,2799677,64766,06/12/2022
F514362399615,2796039,2800471,64767,06/12/2022
F514358900244,2766349,2799773,64770,06/12/2022
F514353992933,2795601,2800259,64772,06/12/2022
F514367993938,2797251,2800299,64783,06/12/2022
F514365596094,2796624,2800372,64786,06/12/2022
F514355306477,2766944,2799819,64787,06/12/2022
F514357569926,2792564,2799696,64788,06/12/2022
F514357181862,2756066,2799657,64801,07/12/2022
F514369652233,2770211,2800424,64805,07/12/2022
F514365429833,2799358,2800365,64806,07/12/2022
F514353114608,2794763,2800251,64810,07/12/2022
F514367391604,2799126,2800286,64821,07/12/2022
F514354797977,2795403,2800194,64824,07/12/2022
